,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
9281,Pizza Pub,ChIJWdBLly1nwokRANrMQvXsmf8,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"John F. Kennedy International Airport, Terminal 1, 500 Terminal Drive, Jamaica",40.6415089,-73.79237789999998,Queens,Airport,0,3
9282,Shiso,ChIJGcWQJVJmwokRz_y1HiYVJOA,2.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",23.0,,"JFK Terminal 2 gate 62, Jamaica",40.6402755,-73.7894663,Queens,Airport,0,3
9283,Soy & Sake Asian Eats,ChIJrTX0jktnwokR_JrxZy7NhuA,2.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",51.0,,Queens,40.6418796,-73.7919802,Queens,Airport,0,3
9284,Eat&Go New York/ Istanbul,ChIJ_eQYpFdmwokR5gGbSAAj13k,2.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",256.0,2.0,"John F. Kennedy International Airport, Terminal 1, JFK Access Road",40.6420376,-73.7921743,Queens,Airport,0,3
9285,Tagliare,ChIJ4zoWKVJmwokRsR8o5NYZQVw,1.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",25.0,,"Perimeter Road, Jamaica",40.6405041,-73.7892413,Queens,Airport,0,3
9286,The LOCAL,ChIJVTJw_Y5nwokR4Ry4YIU5sy0,1.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",100.0,,"john f kennedy airport (JFK), Terminal 1, Jamaica",40.6421533,-73.7916584,Queens,Airport,0,3
9287,Due Amici,ChIJESoXK1JmwokRR2rQnNhrxYM,1.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",127.0,,"4 Central Terminal Area, Jamaica",40.64081650000001,-73.78921,Queens,Airport,0,3
9288,Taco John's,ChIJW9NWl1NmwokRkhWsKCpwtkU,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.0,1.0,"John F Kennedy Airport Terminal 1, Building 55, Jamaica",40.6428459,-73.7907297,Queens,Airport,0,3
9289,PZA,ChIJj9-r5VtmwokR3ptTgsGDSXc,2.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",26.0,,"John F. Kennedy International Airport Queens, NY 11430 Post Sec - T1 Pre Sec, Jamaica",40.642839,-73.7906551,Queens,Airport,0,3
9290,Wok & Roll,ChIJ_eQYpFdmwokRXfPLa-fqTxg,1.7000000000000002,"['restaurant', 'food', 'point_of_interest', 'establishment']",81.0,,"John F. Kennedy International Airport Terminal 1, Jamaica",40.6431384,-73.7910562,Queens,Airport,0,3
9291,HMS Host,ChIJCdDFBBBnwokRgHpGSFB4Vks,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,"2 Central Terminal Area #1, Jamaica",40.64167399999999,-73.78790450000002,Queens,Airport,0,3
9292,The Local,ChIJj9-r5VtmwokR8GuW2xnLgfg,1.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",73.0,,"John F. Kennedy International Airport Van Wyck and JFK Expressway Post Sec - T1, Jamaica",40.6438733,-73.79068529999998,Queens,Airport,0,3
9293,A&R Food Service,ChIJMx6_4e1mwokRodBDgJd6pAI,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,53 Jfk Intl Airport #3,40.6420578,-73.7867998,Queens,Airport,0,3
9294,Urban Crave,ChIJofeuIkVmwokRW7FTfx9gv9w,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",161.0,2.0,Jamaica,40.6357401,-73.7807751,Queens,Airport,0,3
9295,Blue Smoke on the Road,ChIJ70wTw1pmwokRgZLvbL2aK1w,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",167.0,,"Terminal Drive, Jamaica",40.638293,-73.78101190000002,Queens,Airport,0,3
9296,Pizza Vino,ChIJZ9slYVpmwokRfgOKcoswSr4,2.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",26.0,,"Central Terminal Area, Jamaica",40.6401072,-73.7818066,Queens,Airport,0,3
9297,Angelina’s Metro Market Fine Food of NYC,ChIJVaWrdBZnwokRbBWX0w4r6BA,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,,"Terminal 8, Jamaica",40.6467009,-73.79101429999999,Queens,Airport,0,3
9298,Pat LaFrieda’s,ChIJpTp9l-BfwokReyYdv-Qze5M,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",22.0,,"123-01 Roosevelt Avenue, Corona",40.7561791,-73.84649809999998,Queens,Airport,0,3
